scholarship_name,scholarship_link,image,details,apply,time
International Brain Research Organization (IBRO)'s African Regional Committee (ARC) Bursaries 2020,https://www.wemakescholars.com/scholarship/international-brain-research-organization-ibros-african-regional-committee-arc-bursaries,https://www.wemakescholars.com/admin/uploads/providers/6YmcAT9mP0U91vEZWECjmcs7ypzkRHsr.png,PhD Partial Funding Neuroscience Open for African nationals,https://www.wemakescholars.com/scholarship/international-brain-research-organization-ibros-african-regional-committee-arc-bursaries,Expires in38 days
Sir Ratan Tata Trust & Navajbai Ratan Tata Trust Education Grants,https://www.wemakescholars.com/scholarship/sir-ratan-tata-trust-navajbai-ratan-tata-trust-education-grants,https://www.wemakescholars.com/admin/uploads/providers/1732.jpg,"Masters, PhD, Conferences & Travel Grants Partial Funding Any field of study Open to applicants of India",https://www.wemakescholars.com/scholarship/sir-ratan-tata-trust-navajbai-ratan-tata-trust-education-grants,Expired  Try next time
Monica Cole Research Grant 2020,https://www.wemakescholars.com/scholarship/monica-cole-research-grant,https://www.wemakescholars.com/admin/uploads/providers/2036.png,"Bachelors, Masters Partial Funding Geography Open to all nationals",https://www.wemakescholars.com/scholarship/monica-cole-research-grant,Expires in5 days
British Council IELTS Scholarship 2016,https://www.wemakescholars.com/scholarship/british-council-ielts-scholarship,https://www.wemakescholars.com/admin/uploads/providers/883.jpg,"Bachelors, Masters Partial Funding Courses offered by the university Open to nationals of Bangaldesh",https://www.wemakescholars.com/scholarship/british-council-ielts-scholarship,Expired  Try next time
"The Al Qasimi Foundation's Doctoral Research Grants of UAE, 2019",https://www.wemakescholars.com/scholarship/the-al-qasimi-foundation-s-doctoral-research-grants,https://www.wemakescholars.com/admin/uploads/providers/671.jpg,PhD Full Funding Policymaking in the United Arab Emirates. Open to all nationalities,https://www.wemakescholars.com/scholarship/the-al-qasimi-foundation-s-doctoral-research-grants,Expired  Try next time
"Wellcome Trust-International Masters Fellowships, 2020",https://www.wemakescholars.com/scholarship/master-fellowships-in-public-health-and-tropical-medicine,https://www.wemakescholars.com/admin/uploads/providers/pFustKTa28d08mP7eJFrBajnP0rVF9Nm.jpg,"Masters Full Funding Public Health, Tropical Medicine Open to nationals of low and middle-income countries (except India and China)",https://www.wemakescholars.com/scholarship/master-fellowships-in-public-health-and-tropical-medicine,Expires in92 days
"National Arts Council Arts Scholarships in Singapore, 2019",https://www.wemakescholars.com/scholarship/nac-arts-scholarship,https://www.wemakescholars.com/admin/uploads/providers/145.jpg,"Bachelors, Masters, PhD Full Funding Arts, Writing, Culture Open to Singapore applicants",https://www.wemakescholars.com/scholarship/nac-arts-scholarship,Expired  Try next time
"POGO-SCOR Visiting Fellowships For Developing Countries, 2019",https://www.wemakescholars.com/scholarship/pogo-scor-visiting-fellowships-for-developing-countries,https://www.wemakescholars.com/admin/uploads/providers/96.png,Conferences & Travel Grants Partial Funding Global observation scheme for the oceans Open to selected countries,https://www.wemakescholars.com/scholarship/pogo-scor-visiting-fellowships-for-developing-countries,Expired  Try next time
Donald and Barbara Mozley Scholarship 2020,https://www.wemakescholars.com/scholarship/donald-and-barbara-mozley-scholarship,https://www.wemakescholars.com/admin/uploads/providers/9RiHJ2n6AsVRKyddCYYYUUSStp5wQMoo.jpg,"Bachelors, Masters Partial Funding Engineering Eligible for US residents",https://www.wemakescholars.com/scholarship/donald-and-barbara-mozley-scholarship,Expires in62 days
Roberto Rocca Fellowship 2020,https://www.wemakescholars.com/scholarship/roberto-rocca-fellowship,https://www.wemakescholars.com/admin/uploads/providers/2233.jpg,"Masters, PhD Partial Funding Materials Engineering, Mechanical Engineering, Metallurgy, Petroleum Engineering, Data Science Open to citizens of Argentina, Brazil, Uruguay, Colombia, Indonesia, Mexico, Saudi Arabia, and Romania",https://www.wemakescholars.com/scholarship/roberto-rocca-fellowship,Deadline  varies
"NUS-Overseas Graduate Scholarship, 2020",https://www.wemakescholars.com/scholarship/nusoverseas-graduate-scholarship-nusogs,https://www.wemakescholars.com/admin/uploads/providers/h6RMM3NAQi4l5sU43jp6sRSfGCClY8dv.png,"Masters, PhD Partial Funding Teaching, Research Open to applicants of Singapore",https://www.wemakescholars.com/scholarship/nusoverseas-graduate-scholarship-nusogs,Expires in69 days
Mid-Term Overseas Singapore Industry Scholarship (SgIS) 2020,https://www.wemakescholars.com/scholarship/fullterm-singaporeindustry-scholarship-sgis23,https://www.wemakescholars.com/admin/uploads/providers/7Tz2uSsLUJYmEwYq3MOxJL-xCW1nCGkO.jpg,Bachelors Partial Funding Any subject Open to Singapore nationals,https://www.wemakescholars.com/scholarship/fullterm-singaporeindustry-scholarship-sgis23,Expires in69 days
National Science Scholarships (BS) 2020,https://www.wemakescholars.com/scholarship/national-science-scholarships-bs,https://www.wemakescholars.com/admin/uploads/providers/514.jpg,"Bachelors, PhD Full Funding Courses offered by the University Open to students of Singapore",https://www.wemakescholars.com/scholarship/national-science-scholarships-bs,Expires in48 days
Mobility Tech Yearly Scholarship 2020,https://www.wemakescholars.com/scholarship/mobility-tech-yearly-scholarship,https://www.wemakescholars.com/admin/uploads/providers/hcAMn2mX7B0JMcy3eNT5LBVg9kxD8zNY.png,"Bachelors, Masters Partial Funding technology, mental health, biotechnology, marketing Applicable to all nationals",https://www.wemakescholars.com/scholarship/mobility-tech-yearly-scholarship,Expired  Try next time
PhD fellowships for students in IITs,https://www.wemakescholars.com/scholarship/phd-fellowships-for-students-in-iits,https://www.wemakescholars.com/admin/uploads/providers/255.jpg,PhD Full Funding All subjects offered at the university Open to citizens of ASEAN countries,https://www.wemakescholars.com/scholarship/phd-fellowships-for-students-in-iits,Expired  Try next time
Damak Technical Education Foundation Scholarships,https://www.wemakescholars.com/scholarship/damak-technical-education-foundation-scholarships,https://www.wemakescholars.com/admin/uploads/providers/EKvCEosJpsFeNlmq3qBnRBp-pSloDWCB.jpg,"Bachelors, Masters Partial Funding All subjects offered at the university Open to the citizens of Nepal",https://www.wemakescholars.com/scholarship/damak-technical-education-foundation-scholarships,Always  Open
Engineering International Scholar Award,https://www.wemakescholars.com/scholarship/engineering-international-scholar-award,https://www.wemakescholars.com/admin/uploads/providers/xSlkNm6yKURg0PHVof1SabN_ONdBQVtE.png,Bachelors Partial Funding Science and Engineering Open to all nationalities,https://www.wemakescholars.com/scholarship/engineering-international-scholar-award,Deadline  varies
Merit cum Means Based Scholarship,https://www.wemakescholars.com/scholarship/merit-cum-means-based-scholarship,https://www.wemakescholars.com/admin/uploads/providers/255.jpg,"Bachelors, Masters Full Funding All technical and professional courses Open to citizens of India",https://www.wemakescholars.com/scholarship/merit-cum-means-based-scholarship,Deadline  varies
ONGC Scholarship,https://www.wemakescholars.com/scholarship/ongc-scholarship,https://www.wemakescholars.com/admin/uploads/providers/rHkWrptwR8-PAA6NFszL_z14JKzHxY5t.png,"Bachelors, Masters Partial Funding Subjects listed by the organization Open to citizens of India",https://www.wemakescholars.com/scholarship/ongc-scholarship,Expired  Try next time
ServiceScape Scholarship 2019,https://www.wemakescholars.com/scholarship/servicescape-scholarship,https://www.wemakescholars.com/admin/uploads/providers/jyyD6lf06ZsjELDWswA0TeO_lBv2q9X-.jpg,"Bachelors, Masters Partial Funding All subjects offered at the university Open to all nationalities",https://www.wemakescholars.com/scholarship/servicescape-scholarship,Expired  Try next time
